Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
2197.76,181.89,24.45,-26.96
2203.34,181.8,24.45,-27.06
2208.76,181.73,24.45,-27.15
2213.6,181.69,24.45,-27.22
2218.14,181.68,24.45,-27.26
2222.43,181.66,24.45,-27.27
2225.94,181.64,24.45,-27.29
2229.4,181.61,24.45,-27.31
2233.75,181.55,24.45,-27.34
2238.78,181.48,24.45,-27.4
2244.31,181.66,24.45,-27.47
2250.18,181.89,24.63,-27.47
2253.2,182.01,24.86,-27.47
2256.22,182.13,24.98,-27.47
2262.07,182.37,25.1,-27.47
2267.62,182.62,25.34,-27.47
2273.21,182.88,25.59,-27.47
2279.22,183.17,25.85,-27.47
2282.31,183.33,26.14,-27.47
2285.38,183.49,26.3,-27.47
2288.41,183.65,26.46,-27.47
2291.44,183.81,26.62,-27.47
2297.5,184.14,26.78,-27.47
2300.71,184.3,27.11,-27.47
2304.04,184.46,27.27,-27.47
2307.39,184.61,27.43,-27.47
2310.68,184.72,27.58,-27.47
2313.83,184.61,27.69,-27.47
2319.39,184.39,27.69,-27.58
2324.11,184.18,27.69,-27.8
2328.52,183.99,27.69,-28.01
2333.35,183.82,27.69,-28.2
2338.4,183.65,27.69,-28.37
2342.47,183.48,27.69,-28.54
2345.73,183.35,27.69,-28.71
2349.37,183.43,27.69,-28.84
2353.41,183.55,27.77,-28.84
2357.13,183.69,27.89,-28.84
2360.26,183.83,28.03,-28.84
2364.03,184.02,28.17,-28.84
2368.64,184.32,28.36,-28.84
2374.73,184.72,28.66,-28.84
2378.99,184.99,29.06,-28.84
2383.81,185.3,29.33,-28.84
2388.88,185.5,29.64,-28.84
2394.12,185.4,29.84,-28.84
2399.52,185.28,29.84,-28.94
2404.87,185.16,29.84,-29.06
2410.1,185.04,29.84,-29.18
2415.14,184.92,29.84,-29.3
2419.98,184.81,29.84,-29.42
2424.58,184.7,29.84,-29.53
2429.01,184.59,29.84,-29.64
2433.16,184.48,29.84,-29.75
2437.02,184.38,29.84,-29.86
2440.65,184.28,29.84,-29.96
2444.0,184.18,29.84,-30.06
2447.16,184.08,29.84,-30.16
2450.17,183.97,29.84,-30.26
2455.68,183.77,29.84,-30.37
2460.95,183.58,29.84,-30.57
2466.22,183.38,29.84,-30.76
2471.6,183.16,29.84,-30.96
2476.96,182.95,29.84,-31.18
2482.35,182.76,29.84,-31.39
2487.97,182.71,29.84,-31.58
2493.84,182.65,29.84,-31.63
2499.85,182.58,29.84,-31.69
2505.69,182.5,29.84,-31.76
2510.99,182.42,29.84,-31.84
2515.88,182.35,29.84,-31.92
2520.87,182.3,29.84,-31.99
2525.92,182.28,29.84,-32.04
2530.97,182.31,29.84,-32.06
2536.09,182.39,29.87,-32.06
2541.27,182.49,29.95,-32.06
2546.47,182.6,30.05,-32.06
2551.82,182.72,30.16,-32.06
2556.99,182.84,30.28,-32.06
2561.73,182.95,30.4,-32.06
2566.23,183.0,30.51,-32.06
2570.34,183.0,30.56,-32.06
2574.0,183.0,30.56,-32.06
2577.64,183.0,30.56,-32.06
2582.15,183.0,30.56,-32.06
2587.72,182.97,30.56,-32.06
2593.76,182.91,30.56,-32.09
2596.82,182.88,30.56,-32.15
2600.0,182.85,30.56,-32.18
2603.32,182.82,30.56,-32.21
2606.82,182.78,30.56,-32.24
2610.45,182.7,30.56,-32.28
2614.13,182.63,30.56,-32.36
2617.64,182.56,30.56,-32.43
2620.92,182.5,30.56,-32.5
2623.99,182.45,30.56,-32.56
2629.79,182.36,30.56,-32.61
2635.41,182.29,30.56,-32.7
2640.54,182.24,30.56,-32.77
2645.08,182.19,30.56,-32.82
2649.75,182.16,30.56,-32.87
2654.65,182.12,30.56,-32.9
2659.56,182.09,30.56,-32.94
2663.89,182.06,30.56,-32.97
2668.12,182.04,30.56,-33.0
2672.49,182.02,30.56,-33.02
2677.01,182.01,30.56,-33.04
2681.88,182.0,30.56,-33.05
2687.16,181.96,30.56,-33.06
2692.62,181.9,30.56,-33.1
2698.17,181.84,30.56,-33.16
2703.81,181.78,30.56,-33.22
2709.49,181.72,30.56,-33.28
2715.01,181.66,30.56,-33.34
2720.41,181.61,30.56,-33.4
2725.89,181.55,30.56,-33.45
2731.6,181.49,30.56,-33.51
2737.54,181.43,30.56,-33.57
2743.36,181.37,30.56,-33.63
2748.58,181.31,30.56,-33.69
2753.51,181.26,30.56,-33.75
2758.53,181.2,30.56,-33.8
2764.17,181.14,30.56,-33.86
2769.9,181.08,30.56,-33.92
2772.91,181.05,30.56,-33.98
2776.04,181.02,30.56,-34.01
2779.31,181.03,30.56,-34.04
2782.7,181.1,30.57,-34.04
2786.09,181.16,30.64,-34.04
2789.41,181.22,30.7,-34.04
2792.64,181.27,30.76,-34.04
2795.71,181.33,30.81,-34.04
2801.64,181.42,30.87,-34.04
2807.31,181.51,30.96,-34.04
2812.94,181.59,31.05,-34.04
2818.99,181.67,31.13,-34.04
2822.18,181.7,31.21,-34.04
2825.39,181.74,31.24,-34.04
2828.58,181.78,31.28,-34.04
2831.71,181.82,31.32,-34.04
2834.74,181.85,31.36,-34.04
2840.48,181.92,31.39,-34.04
2845.81,181.97,31.46,-34.04
2850.89,182.02,31.51,-34.04
2856.01,182.05,31.56,-34.04
2865.88,182.12,31.59,-34.04
2869.02,182.11,31.66,-34.04
2873.51,182.12,31.66,-34.05
2878.19,182.09,31.67,-34.05
2883.3,182.07,31.67,-34.08
2889.5,182.04,31.67,-34.1
2892.97,182.02,31.67,-34.13
2896.5,181.99,31.67,-34.15
2900.0,181.95,31.67,-34.18
2903.39,181.9,31.67,-34.22
2906.67,181.86,31.67,-34.27
2909.77,181.82,31.67,-34.31
2915.54,181.75,31.67,-34.35
2920.81,181.69,31.67,-34.42
2925.97,181.64,31.67,-34.48
2931.28,181.6,31.67,-34.53
2936.75,181.59,31.67,-34.57
2942.17,181.6,31.67,-34.58
2947.63,181.61,31.68,-34.58
2953.54,181.62,31.69,-34.58
2956.6,181.63,31.7,-34.58
2962.19,181.65,31.71,-34.58
2966.83,181.68,31.73,-34.58
2971.25,181.7,31.76,-34.58
2976.07,181.66,31.78,-34.58
2981.18,181.61,31.78,-34.62
2986.56,181.57,31.78,-34.67
2992.56,181.51,31.78,-34.71
2995.89,181.47,31.78,-34.77
2999.4,181.43,31.78,-34.81
3003.09,181.39,31.78,-34.85
3006.83,181.34,31.78,-34.89
3246.47,184.37,31.78,-34.94
3249.88,184.32,34.81,-34.94
3252.89,184.29,34.81,-34.99
3259.32,184.21,34.81,-35.02
3262.93,184.16,34.81,-35.1
3266.44,184.12,34.81,-35.15
3270.05,184.07,34.81,-35.19
3273.33,184.03,34.81,-35.24
3276.41,184.0,34.81,-35.28
3282.31,184.0,34.81,-35.31
3287.95,184.0,34.81,-35.31
3293.59,184.0,34.81,-35.31
3298.83,184.0,34.81,-35.31
3303.95,184.0,34.81,-35.31
3308.96,184.0,34.81,-35.31
3313.87,184.0,34.81,-35.31
3318.56,184.0,34.81,-35.31
3322.99,184.0,34.81,-35.31
3327.37,184.0,34.81,-35.31
3331.77,184.0,34.81,-35.31
3336.24,184.0,34.81,-35.31
3341.37,184.0,34.81,-35.31
3347.51,184.0,34.81,-35.31
3350.88,183.99,34.81,-35.31
3354.25,183.98,34.81,-35.32
3357.58,183.97,34.81,-35.33
3360.93,183.95,34.81,-35.34
3364.31,183.94,34.81,-35.36
3367.77,183.92,34.81,-35.37
3371.09,183.9,34.81,-35.39
3374.2,183.88,34.81,-35.41
3379.67,183.84,34.81,-35.43
3384.46,183.8,34.81,-35.47
3389.26,183.77,34.81,-35.51
3394.3,183.72,34.81,-35.54
